date,avg_price
2018-04-27,9221.86802618436
2015-06-14,233.6681
2020-01-04,7300.34693530511
2025-05-17,103185.72222222222
2025-06-13,104839.27083333334
2025-09-19,116363.80555555558
2019-04-06,5014.9558268887649
2016-09-01,571.59
2022-12-29,16538.906094001977
2017-04-25,1263.045
2021-06-04,39151.316183800314
2018-02-16,10112.5801434467
2022-08-05,22678.363633874185
2023-10-04,27439.121946705116
2019-06-19,9094.0217460792173
2018-06-29,5879.98897440643
2018-06-03,7567.51293761927
2018-08-23,6336.6563271087025
2019-02-20,3915.0099712770552
2015-12-27,423.925
2022-05-06,36612.229548803036
2014-12-18,309.765
2023-11-13,37067.696982120076
2017-01-24,885.78879999999992
2014-01-15,860.44
2017-01-12,799.4275
2023-06-12,25916.579896379812
2022-10-10,19448.149001757611
2023-01-21,22705.83367889906
2018-07-03,6595.5473128085
2017-03-21,1112.701532272989
2017-08-20,4001.22863247285
2024-09-02,57357.71617282246
2013-08-15,111.87
2019-08-15,10016.217389275296
2023-03-26,27670.199498496833
2020-05-12,8604.75159101983
2019-08-29,9753.48704889705
2019-09-22,9997.1998878167778
2021-01-14,37456.007725486423
2014-05-11,436.2833
2019-02-24,4115.3379267876635
2016-02-21,438.64999999999992
2020-01-25,8432.0966757894184
2014-02-22,571.06
2016-06-18,756.79960125806269
2013-09-12,134.22
2013-07-07,68.0831
2025-06-21,103258.17361111111
2025-08-14,120464.86111111112
2025-06-01,104623.80555555555
2025-07-13,118257.50694444444
2025-06-08,105776.20833333334
2022-07-27,21235.612316085775
2016-04-04,419.437
2023-10-22,29920.074492651449
2020-12-27,26476.130137019492
2016-10-25,652.6338
2019-03-25,3993.3949004595488
2020-04-02,6640.7976663101308
2023-11-28,37250.169051481149
2018-10-23,6512.5890592989217
2021-10-21,66237.51755029388
2022-03-16,39331.846540594532
2021-12-26,50663.487102132152
2021-05-26,38210.805217593886
2019-05-21,7976.8517128996255
2023-05-08,28611.439197614574
2017-02-05,1016.9261585954309
2019-12-22,7141.5548570462588
2016-11-03,686.06129999999951
